    1024,   8,       128,     0.013
    1024,  16,        64,     0.015
    1024,  32,        32,     0.016
    1024,  64,        16,     0.019
    1024, 128,         8,     0.014
    1024, 256,         4,     0.013
    1024, 512,         2,     0.018
    2048,   8,       256,     0.039
    2048,  16,       128,     0.025
    2048,  32,        64,     0.033
    2048,  64,        32,     0.037
    2048, 128,        16,     0.023
    2048, 256,         8,     0.046
    2048, 512,         4,     0.021
    4096,   8,       512,     0.055
    4096,  16,       256,     0.058
    4096,  32,       128,     0.052
    4096,  64,        64,     0.078
    4096, 128,        32,     0.060
    4096, 256,        16,     0.078
    4096, 512,         8,     0.049
    8192,   8,      1024,     0.221
    8192,  16,       512,     0.113
    8192,  32,       256,     0.142
    8192,  64,       128,     0.123
    8192, 128,        64,     0.123
    8192, 256,        32,     0.152
    8192, 512,        16,     0.141
   16384,   8,      2048,     0.266
   16384,  16,      1024,     0.275
   16384,  32,       512,     0.282
   16384,  64,       256,     0.295
   16384, 128,       128,     0.280
   16384, 256,        64,     0.248
   16384, 512,        32,     0.214
   32768,   8,      4096,     0.415
   32768,  16,      2048,     0.501
   32768,  32,      1024,     0.436
   32768,  64,       512,     0.397
   32768, 128,       256,     0.490
   32768, 256,       128,     0.473
   32768, 512,        64,     0.581
   65536,   8,      8192,     1.017
   65536,  16,      4096,     1.098
   65536,  32,      2048,     0.979
   65536,  64,      1024,     0.973
   65536, 128,       512,     0.742
   65536, 256,       256,     1.332
   65536, 512,       128,     0.807
  131072,   8,     16384,     0.459
  131072,  16,      8192,     0.448
  131072,  32,      4096,     0.677
  131072,  64,      2048,     0.546
  131072, 128,      1024,     0.449
  131072, 256,       512,     0.412
  131072, 512,       256,     0.404
